X.GN.	X.Pr0B_0h1.	X.ProB_0h2.	X.Pr0B_1h1.	X.Pr0B_1h2.	X.Pr0B_4h1.	X.Pr0B_4h2.	X.Pr0B_16h1.	X.Pr0B_16h2.	a
"sp|Q8BGK6|YLAT2_MOUSE"	18.0889132700775	18.0686481097933	18.0972615000785	18.1263259097997	18.142864169768	18.1366821099443	18.4372011798729	18.4239187498008	0.994017709749671
"sp|Q8K0C4|CP51A_MOUSE"	18.9294254201098	18.8666105801107	18.8899296001066	18.933796739857	19.0022871900872	19.2359596500844	19.9858230406335	20.0007154905158	0.993802403939333
"sp|Q9JJ00|PLS1_MOUSE"	16.0194881300945	16.0037004699083	16.0491830700784	16.0644452699954	16.1550146800623	16.1808673300507	16.6781457498213	16.658449240572	0.993005892049292
"sp|Q9Z127|LAT1_MOUSE"	18.5399122199631	18.5422056798305	18.5673771200517	18.5261682600741	18.5308092801002	18.5740673099895	18.8770167801201	18.8952497701336	0.991908852182879
"sp|P58044|IDI1_MOUSE"	18.1102267999092	18.1430266199143	18.1639393901766	18.1560423897747	18.2024245301664	18.1760182899441	18.7884469299136	18.8267412100792	0.991503468407937
"tr|Q9CZN7|Q9CZN7_MOUSE"	21.5418715999707	21.4830870601416	21.5351866499361	21.4956674802262	21.5546761598999	21.5647712098492	21.8316072499316	21.8614317999528	0.99147184252981
"sp|Q99JF5|MVD1_MOUSE"	15.6096631900685	15.6613610399081	15.6063238899247	15.6386224199348	15.6084192100108	15.6870969999537	16.2809902999882	16.2303074100783	0.990271668035764
"sp|Q8BW10|NOB1_MOUSE"	18.288015410161	18.2834606301789	18.2845855199232	18.2748207497773	18.3277808201667	18.4470623701665	18.801182229911	18.8682636200752	0.990227622553463
"sp|Q9WTL8|BMAL1_MOUSE"	16.0128014999417	16.1517444800373	16.0587850999753	16.0906130799048	16.1596632699227	16.2163689999927	17.0823102500239	17.1758566403117	0.989472665138391
"sp|Q8JZK9|HMCS1_MOUSE"	18.545494359831	18.6067043201162	18.5566914100824	18.5159272400719	18.7774982200153	18.7440998098785	19.7331635799291	19.7117944200773	0.989115644562931
"sp|Q8CI11|GNL3_MOUSE"	19.7574677899209	19.7181849899728	19.7085755600451	19.7663334300611	19.7582611899383	19.8079838799418	20.3258157698939	20.2058095701456	0.98892403015348
"sp|Q6NSQ7|LTV1_MOUSE"	17.4007479499326	17.3556472297778	17.3061087600049	17.3232762296911	17.3713021901673	17.4473669503482	17.8394408397589	17.8694699502918	0.98888660957915
"sp|Q61107|GBP4_MOUSE"	18.6890794998807	18.6676901801369	18.6884093298318	18.6672701800372	18.7591706798557	18.72500747984	19.0470242799515	19.0517105699434	0.988839856836538
"sp|P16406|AMPE_MOUSE"	17.8119406698043	17.8718737601581	17.8980185797738	17.9126972402281	18.1300880402475	18.0621912497365	19.0601463498983	19.0435827600641	0.988812535386857
"sp|Q9CQS5|RIOK2_MOUSE"	16.0749380100045	15.9877629099528	16.0371969599459	16.0157965200832	16.0201010700684	16.1405670899483	16.6099643995685	16.5025619300396	0.988617468426795
"sp|P23298|KPCL_MOUSE"	16.4265221799957	16.3100888899164	16.3331025200737	16.4616407799803	16.4564884299904	16.5773705699627	17.0635292701247	17.0849511598906	0.987916446701404
"sp|Q791N7|RPA12_MOUSE"	16.1771122200926	16.0961876900452	16.1966788800299	16.2239870999718	16.1932445899707	16.258323360088	16.5776001399657	16.6365821297397	0.987595385250604
"sp|Q9D2R0|AACS_MOUSE"	17.4503772797877	17.4536002803332	17.3825606497713	17.3704154499483	17.5333527602108	17.5006964203873	18.1980035000964	18.1918283399721	0.987478534720724
