X.GN.	X.Pr0B_0h1.	X.ProB_0h2.	X.Pr0B_1h1.	X.Pr0B_1h2.	X.Pr0B_4h1.	X.Pr0B_4h2.	X.Pr0B_16h1.	X.Pr0B_16h2.	a
"tr|F8WIV2|F8WIV2_MOUSE"	18.367195120028	18.39208336	18.4410035200337	18.3636941700131	18.1737715100051	18.1540949301862	17.0127578202987	17.0042344996463	0.998092248839209
"sp|P04117|FABP4_MOUSE"	17.1481861400613	17.2530062002659	17.2654043200497	17.1701455499332	16.9838711502856	16.899467129568	15.8166170799737	15.7682697599463	0.995563332834589
"sp|P97426|ECP1_MOUSE"	18.4280633400389	18.4350107400657	18.394394969974	18.4360155301571	18.2595325099072	18.1252151200837	16.8555843995446	16.8430571895103	0.995175380136496
"sp|Q9ERZ0|HEMGN_MOUSE"	16.2287285400907	16.327367689914	16.3407249300808	16.3174267500365	16.081933799928	16.1524237900939	15.4673084001457	15.3749643098465	0.995006774796695
"sp|P14901|HMOX1_MOUSE"	17.4313131903404	17.3339811503207	17.4169614803963	17.537547730328	17.3059690804055	17.2235952699842	16.1887571700115	16.1360898799642	0.994732133540767
"sp|P18242|CATD_MOUSE"	18.3344039398162	18.3605461400527	18.347871419862	18.3708850300289	18.3090905999321	18.3141345002103	17.7557311502499	17.7338863503141	0.994704138728348
"sp|P11247|PERM_MOUSE"	21.0868637601483	21.0662813599233	21.0964568897586	21.0782925797709	20.9744881599933	21.0762297002349	20.4277570400942	20.366252400325	0.994185597835327
"sp|P49935|CATH_MOUSE"	17.4715348202211	17.4934565300594	17.4995850802538	17.632963840131	17.3256971804374	17.2907864401061	16.4250968499795	16.4175852799527	0.994016138373191
"sp|P13707|GPDA_MOUSE"	19.012498589966	19.0496876100115	19.0398518300176	18.9854585101234	18.9198427098623	18.9568720299231	18.4333029500992	18.3261557101316	0.993838200905387
"sp|Q3TRM8|HXK3_MOUSE"	17.0822657097317	17.0706392297311	17.048528799792	17.0766895404478	16.962108469966	16.9365450602195	16.4388911799598	16.4582185999487	0.993706473764525
"sp|Q61096|PRTN3_MOUSE"	16.230915270039	16.2397248300156	16.2169849999321	16.197959670008	16.1707031400874	16.0610402899144	15.1924419499861	15.101844700063	0.99305056539881
"sp|P97425|ECP2_MOUSE"	17.2313052001351	17.0906950796437	17.2317936498388	17.2361783502428	16.9612229395805	17.1218661400332	16.2140728200151	16.1988651799734	0.992765431888712
"sp|Q6WVG3|KCD12_MOUSE"	18.8650727599767	18.9001917599926	18.9155910399954	18.8861711399341	18.8449547100569	18.8502104700337	18.369475629937	18.4075206000737	0.992745552612421
"sp|P54116|STOM_MOUSE"	18.4121268499041	18.3932947998876	18.5155135701512	18.4337799001967	18.3261418398219	18.3104639299371	17.8980091800552	17.8173143801805	0.99238846062818
"tr|E9PVX6|E9PVX6_MOUSE"	22.7856888499913	22.7161310401028	22.8159146999884	22.8065963499314	22.6932645299305	22.7315867500951	22.3341153501169	22.3335693200667	0.992323697542137
"sp|Q5SXJ3|FANCJ_MOUSE"	15.8288753099101	15.8007997700538	15.8197116099803	15.7792511500764	15.7395014600346	15.7684462700423	15.5043626398874	15.474236620081	0.991877654061547
"sp|Q8C2K1|DEFI6_MOUSE"	18.5360069100654	18.5091909600527	18.5347809300612	18.5253441600501	18.4972200199046	18.4494742401337	18.1980241500443	18.1311766900248	0.991681580832864
"sp|Q9D8H7|OMA1_MOUSE"	15.0390192202026	15.0590151601301	15.0771244401567	15.0605748699898	15.0087140399788	14.9490612397832	14.6731869299781	14.6017451801114	0.991633182166378
"tr|E9QMK9|E9QMK9_MOUSE"	16.378023539918	16.4230694700261	16.3954685200297	16.4020998699683	16.3681730700274	16.3658859099498	16.1342016900615	16.0892497099493	0.991376275315564
"sp|Q3UND0|SKAP2_MOUSE"	17.2831150595688	17.3414862797157	17.2928385301832	17.3598341001933	17.2613422997845	17.2490378698359	16.8698258697608	16.8483980702476	0.991253084165746
"sp|Q9ET01|PYGL_MOUSE"	19.6015607900699	19.5271919599538	19.6238730800891	19.6249249099681	19.440653519995	19.4540926999921	18.9520210199002	18.9817257399419	0.99113217936771
"sp|P48036|ANXA5_MOUSE"	20.5480442302856	20.5689855598303	20.5198912101009	20.5095295703366	20.4344461700845	20.4250560903563	20.0406734397813	19.9826850104897	0.990730296869178
"sp|P13634|CAH1_MOUSE"	17.3605471297974	17.3714291996664	17.4125423602193	17.3619050996235	17.0021749402656	16.9340215999342	15.8171907398893	15.8463499699261	0.990492549669644
"tr|O08692|O08692_MOUSE"	20.5301152502674	20.4714274203996	20.569075750167	20.5611679903435	20.4189940196039	20.5333209795293	19.9234433799432	19.9406899295962	0.989663372498931
"sp|Q69Z37|SAM9L_MOUSE"	17.6747016002529	17.6874615999469	17.7368392097249	17.7448259300052	17.6623459302976	17.6565400999753	17.3721804097427	17.3965246298813	0.98955030124047
"tr|Q80UR4|Q80UR4_MOUSE"	21.0633815599093	21.0079629196613	21.0438378299855	21.04888905969	21.0340259502342	21.0139994398064	20.4322866601846	20.4087584395275	0.989495157315407
"sp|Q9QWR8|NAGAB_MOUSE"	16.653195979558	16.6509703298116	16.6367353303398	16.6214437094362	16.4829703900281	16.6252579304054	15.6845811699379	15.7561206900311	0.989473767355699
"sp|O70445|BARD1_MOUSE"	16.7908099201521	16.7304318097809	16.7815407703808	16.8120829201921	16.7230267505387	16.7562159799141	16.454019899933	16.397242319964	0.989365603688061
"sp|P41245|MMP9_MOUSE"	18.7741916201377	18.8510387999112	18.7891666901242	18.8436944601478	18.767173209922	18.7345911799913	18.3624952699757	18.3210423601601	0.989201579416017
"sp|Q99P58|RB27B_MOUSE"	18.4574355799285	18.4352917898981	18.4233984001428	18.5030128500485	18.2950842400912	18.4021137601422	17.9242886198449	17.883163700232	0.989098423725272
"sp|Q9CQI6|COTL1_MOUSE"	21.3445628099857	21.4084281797903	21.4290037797635	21.380026870194	21.3580766801145	21.361762959823	20.9301135198665	20.9500240297618	0.988917277967605
"sp|P70248|MYO1F_MOUSE"	19.395485319965	19.3158910199391	19.340675200075	19.3589929899122	19.1716901600464	19.260676469927	18.7961200798897	18.7332252000184	0.988659134094859
"sp|P29391|FRIL1_MOUSE"	20.2897141204156	20.3458250400159	20.381806139896	20.4970098204105	20.2914352603805	20.2073093399128	19.5817636600499	19.5326215699093	0.988494443099166
"tr|Q8C7J6|Q8C7J6_MOUSE"	18.9076303500925	18.9551232499687	18.9025161200351	18.8644115200325	18.8427151298625	18.8328722599811	18.3465110301009	18.3693424999559	0.988067020840487
"sp|P02088|HBB1_MOUSE"	20.9692302499605	20.9005081698114	21.0677031702008	21.0147089597012	20.905922879995	20.8366423601174	20.4031203005122	20.3432463394784	0.987745735054045
"sp|P10605|CATB_MOUSE"	19.268337409978	19.174581580082	19.2383775499813	19.1756047699523	19.1155543999837	19.0496230400166	18.5717088801176	18.4223258001528	0.987694943980617
"sp|Q8BH61|F13A_MOUSE"	18.8250177899554	18.7364711901567	18.8374718698912	18.8880462999186	18.7106772899411	18.6896114500436	18.2475877498445	18.249202520009	0.987692578288166
"sp|Q3UP87|ELNE_MOUSE"	20.6675171797717	20.5582119603579	20.5871078097112	20.5312203001792	20.3735661697101	20.482650589527	19.7618577199935	19.5687568299673	0.987604824374622
"sp|P11835|ITB2_MOUSE"	21.1428289398505	21.1212741996972	21.1412047298343	21.089142069838	21.0097536003154	21.0211084302604	20.7096878498098	20.6081071300229	0.987594198026888
"sp|P06537|GCR_MOUSE"	18.1154938001353	18.1126108700935	18.181299539999	18.14263839019	18.1232097899377	18.1014483902364	17.8898468200081	17.862974639862	0.987565386842277
