"","kegg_code","scientific_name","common_name"
"1","hsa","Homo sapiens","human"
"2","ptr","Pan troglodytes","chimpanzee"
"3","pps","Pan paniscus","bonobo"
"4","ggo","Gorilla gorilla gorilla","western lowland gorilla"
"5","pon","Pongo abelii","Sumatran orangutan"
"6","nle","Nomascus leucogenys","northern white-cheeked gibbon"
"7","mcc","Macaca mulatta","rhesus monkey"
"8","mcf","Macaca fascicularis","crab-eating macaque"
"9","csab","Chlorocebus sabaeus","green monkey"
"10","caty","Cercocebus atys","sooty mangabey"
"11","panu","Papio anubis","olive baboon"
"12","tge","Theropithecus gelada","gelada"
"13","rro","Rhinopithecus roxellana","golden snub-nosed monkey"
"14","rbb","Rhinopithecus bieti","black snub-nosed monkey"
"15","tfn","Trachypithecus francoisi","Francois's langur"
"16","pteh","Piliocolobus tephrosceles","Ugandan red Colobus"
"17","cjc","Callithrix jacchus","white-tufted-ear marmoset"
"18","sbq","Saimiri boliviensis boliviensis","Bolivian squirrel monkey"
"19","csyr","Carlito syrichta","Philippine tarsier"
"20","mmur","Microcebus murinus","gray mouse lemur"
"21","oga","Otolemur garnettii","small-eared galago"
"22","mmu","Mus musculus","house mouse"
"23","mcal","Mus caroli","Ryukyu mouse"
"24","mpah","Mus pahari","shrew mouse"
"25","rno","Rattus norvegicus","rat"
"26","mcoc","Mastomys coucha","southern multimammate mouse"
"27","mun","Meriones unguiculatus","Mongolian gerbil"
"28","cge","Cricetulus griseus","Chinese hamster"
"29","pleu","Peromyscus leucopus","white-footed mouse"
"30","ngi","Nannospalax galili","Upper Galilee mountains blind mole rat"
"31","hgl","Heterocephalus glaber","naked mole-rat"
"32","cpoc","Cavia porcellus","domestic guinea pig"
"33","ccan","Castor canadensis","American beaver"
"34","dord","Dipodomys ordii","Ord's kangaroo rat"
"35","dsp","Dipodomys spectabilis","banner-tailed kangaroo rat"
"36","ncar","Neosciurus carolinensis","gray squirrel"
"37","ocu","Oryctolagus cuniculus","rabbit"
"38","opi","Ochotona princeps","American pika"
"39","tup","Tupaia chinensis","Chinese tree shrew"
"40","cfa","Canis lupus familiaris","dog"
"41","vvp","Vulpes vulpes","red fox"
"42","vlg","Vulpes lagopus","Arctic fox"
"43","aml","Ailuropoda melanoleuca","giant panda"
"44","umr","Ursus maritimus","polar bear"
"45","uah","Ursus arctos horribilis","North American brown bear"
"46","uar","Ursus americanus","American black bear"
"47","elk","Enhydra lutris kenyoni","northern sea otter"
"48","llv","Lutra lutra","Eurasian river otter"
"49","mpuf","Mustela putorius furo","domestic ferret"
"50","oro","Odobenus rosmarus divergens","Pacific walrus"
"51","eju","Eumetopias jubatus","Steller sea lion"
"52","zca","Zalophus californianus","California sea lion"
"53","mlx","Mirounga leonina","Southern elephant seal"
"54","fca","Felis catus","domestic cat"
"55","pyu","Puma yagouaroundi","jaguarundi"
"56","pbg","Prionailurus bengalensis","leopard cat"
"57","ptg","Panthera tigris altaica","Amur tiger"
"58","ppad","Panthera pardus","leopard"
"59","aju","Acinonyx jubatus","cheetah"
"60","hhv","Hyaena hyaena","striped hyena"
"61","bta","Bos taurus","cow"
"62","bom","Bos mutus","wild yak"
"63","biu","Bos indicus","zebu cattle"
"64","bbub","Bubalus bubalis","water buffalo"
"65","chx","Capra hircus","goat"
"66","oas","Ovis aries","sheep"
"67","oda","Oryx dammah","scimitar-horned oryx"
