"","sig126","sig127N","sig127C","sig128N","sig128C","sig129N","sig129C","sig130N","sig130C","sig131N","sig131C"
"Q8N1N4-2",13.5651360622368,13.809745856711,13.2369144242297,13.3189946416978,13.8950013590057,13.0050010275727,13.5651360622368,13.2327929970754,12.9871188810093,13.5729821690266,14.128177301346
"Q8R3W2",17.4572852170303,17.2569435439518,17.5769089034195,17.6182655422722,17.6181558584634,17.5551722209476,17.4572852170303,17.5819584054458,17.8992612672815,17.5327999011528,17.6072424719868
"M0QWF3",16.772565569888,16.5313094178607,16.8218435432524,16.5636505428021,16.5378209374017,16.54040892289,16.772565569888,16.719378528547,16.5190695481132,16.5693450652315,16.6721143668471
"D3Z687",14.6989177773211,14.640491872933,14.5747704618516,14.606634488368,14.9030701329997,14.7229813945,14.6989177773211,14.6199032881029,15.522682528702,14.7398899977643,14.7309661115503
"A0A0J9YTR2",16.0519624182169,15.6440720973835,16.2277019678583,16.1710876298049,16.0818714374679,16.0222344793861,16.0519624182169,16.168652765082,16.334686161577,16.0540677421499,16.088895710071
"D3YVR9",16.0004486179537,16.1643192127821,16.180708286844,16.2238136841245,16.0532126535755,15.87922749385,16.0004486179537,16.0177624011412,15.4177992790214,15.8367101455811,15.9751270839917
"D6RI64",15.240050930105,15.0702843666997,15.7534984630457,15.8150821553373,15.5827807383312,14.8696449648104,15.240050930105,15.6888106706491,14.2745504511117,14.8570365028666,15.7666936411263
"Q810Q1",15.3929273779129,14.7276987944872,15.4104594457716,15.3169383710225,15.4226649695685,15.0783810777146,15.3929273779129,15.2818869649076,15.5862408018149,15.1081304233792,15.2744293594206
"Q571N2",16.193909809331,16.0814909910734,15.8872290352909,15.8691360954353,16.2847625557894,16.204195639379,16.193909809331,16.0293967382065,16.1135394255827,16.1753856790643,16.0334095904253
"D3YWR8",16.6341652017754,16.746028656042,16.7286029840793,16.7691314209768,16.6277334723585,16.7211153092045,16.6341652017754,16.7244509510016,15.9553712030745,16.5973113952613,16.7160311722351
"Q8K039",15.6939234730477,15.6936454553066,15.5878022242612,15.5990197800445,15.7361337522717,15.7425409823368,15.6939234730477,15.6568097892613,15.3143450439839,15.6662347383737,15.6546063596178
"Q8VC96",21.5331734653436,21.4163796413533,20.9494406610922,20.9251589672216,21.9146773243751,21.6599208162873,21.5331734653436,21.7880382563046,21.0960772782992,21.2000123591214,21.4890127700718
"A0A1W2P6X0",17.5941238521768,17.0533130314707,17.8453850609222,17.9533563149188,17.5910643761399,17.4440010122372,17.5941238521768,17.7082092199889,16.7432276477638,17.3561521179575,17.8008207672362
"P0C913",17.3985478244421,16.7698397012828,17.6383217097834,17.4176709076452,17.1532993251901,17.0354460238411,17.3985478244421,17.291548096269,16.8520258071631,17.1665647683545,17.5510872460335
"Q8WUR0",13.568734875349,13.1521179869157,13.2887028896123,13.3679398837544,13.6736182909067,13.6489411607417,13.568734875349,13.0362624897918,14.4329439426093,13.6826916517332,13.4317918929088
"Q14AA6",19.1366048903697,18.9705814835603,19.1223487422318,19.3026731093491,19.1293774957342,19.1747960720724,19.1366048903697,19.1872861176549,19.3510359995628,19.2337382211206,19.1420055853133
"Q9DA82",17.849569980646,18.0336906791861,17.8964194344083,17.9642527071713,17.7544920778926,17.8443610328572,17.849569980646,17.7876258628839,17.2633744303016,17.7199390734589,17.7234211656167
"Q3TJL3",16.5214168247005,16.7385867944597,16.6114243859018,16.6650117907521,16.5734466385596,16.5798896519906,16.5214168247005,16.6318325822567,16.47294005601,16.5173077742143,16.737484260034
"F8WIU1",15.521749686841,15.5732362450262,15.1192815846247,15.6184014350831,15.625481464855,15.6459034880714,15.521749686841,15.6130309306793,15.8103903900624,15.6139741618076,15.3882713206327
"Q3V2K0",19.7435463656953,20.0029308935078,19.9615760939689,18.1416504764129,19.7649714451031,19.738957267459,19.7435463656953,18.9025561987656,19.3905126568394,19.8411777569556,19.6406482250756
"Q9CSS6",13.8487056984053,13.359198778415,13.7110003602828,14.0384537822834,13.6091058349431,13.8881504666926,13.8487056984053,14.0057452531964,13.5216735879283,13.8542994567023,13.7046662249419
"Q9CPN7",15.9252604955852,15.237980005057,14.4494052788218,14.5467834025712,15.2751681579002,15.4790747618288,15.9252604955852,15.1166744414861,14.9966198754331,15.2104774239146,14.9154068281612
"Q9D927",16.0733273790854,16.1090742992311,16.255785700599,16.2041844990769,16.142296325399,16.2607236875782,16.0733273790854,16.0927830366588,16.38899745358,16.3301593569492,16.2468510945717
"A2BDN9",16.5673724370392,16.9483020790276,16.371530270194,16.484041925221,16.5414571962376,16.9123559232399,16.5673724370392,16.5805297601077,16.899749196566,17.0045810232777,16.4678442722902
"Q9D7Y7",15.4366213874697,15.2499609325313,15.5449595773252,15.2397748354396,15.4195497724518,15.3138314530235,15.4366213874697,15.3893853187505,16.0062817784976,15.1886350865448,15.2421772162042
"G3X8U3",17.9018384989379,18.2812555591711,17.5900345389068,17.9728367666727,17.9053009575257,18.2414462417244,17.9018384989379,17.9080425258367,18.2746062599469,18.2440629547986,17.8481624302841
"A0A0R4J099",15.8595303839916,15.6079335280404,16.3228795003649,16.2183137590723,15.8487030111072,15.6264983296869,15.8595303839916,16.047942735977,15.1418985145069,15.6935342097189,16.0865876772036
"Q9D7T5",17.6994520662128,17.1261598623119,17.6531147614302,17.6392389002274,17.5786671004922,17.6058974467776,17.6994520662128,17.4867951615351,17.8075294308886,17.7314524102965,17.8109260294907
"G5E8E3",14.3552593254366,14.3724959992111,14.3237561453329,14.1945505870645,13.8729265941682,14.2172571053007,14.3552593254366,14.3016230382534,13.7009896719828,14.5602947184308,14.3216933743893
"Q3UM69",17.5518874399937,17.2115343871335,17.9264421850046,17.7673610372782,17.7835323011229,17.3041250334084,17.5518874399937,17.6124381551911,18.0921788325697,17.4306788967881,17.7317840826675
"Q6PDX4",16.700810233586,16.2645995119853,17.2995752461293,16.8407819760068,16.9220971472338,16.4739672288451,16.700810233586,16.6755088259033,17.1757159671865,16.419202355232,16.7796975001586
"Q3T9M2",14.8953809267186,14.5924458517373,15.090714260274,14.7019768279517,14.584581898025,14.5601431390087,14.8953809267186,15.1130990643846,15.3224795181992,14.4092019707906,14.6909949411173
"Q3TE80",15.7556917518512,15.4568376883913,15.9510971501425,15.6782764495285,15.4832491512981,15.4663777939355,15.7556917518512,15.9380105196876,15.8108342487079,15.3486660297432,15.6873465755247
"D6RCI4",14.4935586157168,14.4727406687722,14.4409245740803,14.3009042642272,14.6225009251183,14.3595545021004,14.4935586157168,14.4087426544542,14.2904654661994,14.2957950761445,14.5432447718777
"A0A087WQ28",16.4370707345668,16.2548986106773,16.6119549618915,16.3853160710538,16.495068423953,16.3528636477565,16.4370707345668,16.2430544554929,16.5871466413307,16.2894035656635,16.4247574721579
"Q9CWU4",16.036055191628,15.9178918417038,16.090694225043,15.8544162742291,16.173215398642,15.8794153376034,16.036055191628,15.8943948118059,15.8268856563658,15.8193616960077,16.0605798609023
"A0A087WSJ3",14.5957506773741,13.9503611201659,14.9743586892194,15.1829424501134,14.9013216695306,14.5168741505517,14.5957506773741,15.067541347568,13.5512294528083,14.3294336124601,15.0760774751748
"Q3TU38",16.940027406713,17.5722932057169,16.9441403388796,16.8729581244332,16.9112535063967,17.062470915653,16.940027406713,16.8086914386144,17.1158239463865,17.1634460503787,16.7688522309114
"B1AV75",18.2335245886096,18.4110781387118,18.050901533961,18.3230638114719,18.3105395742999,18.3319722932146,18.2335245886096,18.25869996645,18.2049647176069,18.4357265049646,18.1843365061999
"A0PJA0",14.3991650055677,14.3844268051068,13.9668019913299,13.9355287804447,14.8680322188139,14.0365781612626,14.3991650055677,13.8917486785236,15.9996987929736,14.1772052582318,14.2623691795269
"Q3UXZ8",17.2437445775159,17.5739596472028,16.7089581812749,16.5033726802146,17.008047318949,17.4790881093496,17.2437445775159,16.904087773685,16.6579315166752,17.6740286885405,16.8577750079654
"Q9CZH1",13.4221781912456,13.5384307015572,13.2707362201491,13.0960179901196,13.4094032241873,13.5743871080552,13.4221781912456,13.409626965871,13.4977545691559,13.6840594071709,13.3261370687663
"Q9CSU7",14.3237210744011,14.4277276544871,13.9435613951876,14.0888573049296,14.0006356566339,14.4327773354846,14.3237210744011,14.1152979742941,14.3197151942748,14.3642018617076,14.0736349509179
"Q6NSU2",15.3260486918556,16.136463302169,15.0354027417076,15.8463555604556,15.5948634145749,15.8380713248871,15.3260486918556,15.4608916272438,15.5017717299717,15.719343917895,15.2438395207657
"B7ZMV2",16.1144115545307,16.1484806129232,16.2770206935989,16.3475848839699,16.2874250717684,16.2349376589454,16.1144115545307,16.1324043501556,16.2288396422157,16.1840709818885,16.1803305723112
"A0A1B0GR85",21.3743168547306,21.8433014072142,21.2136325040546,21.1582551906927,21.4045038691935,21.6765486364693,21.3743168547306,21.2896105842157,21.500292003973,21.7526912273907,21.476719846732
"A0A1D5RLN6",21.3628549078125,21.9387804242294,21.2190950888993,21.2081456067702,21.3598414333289,21.6699458941384,21.3628549078125,21.2832591025685,21.343686080702,21.7924597780913,21.4446650773513
"Q922W7",19.5352977324789,19.4984561372624,19.2785049759462,18.5134953885219,19.4612276969002,19.1409366735868,19.5352977324789,18.4355843525948,19.5630213464774,19.2058389405127,19.0210983793789
"Q9CXD2",19.4118498320984,19.4200203972337,19.2755077467934,18.6262625547042,19.4469691373879,19.1351188162852,19.4118498320984,18.5239700736109,19.515914423917,19.1788623186999,19.034452564644
"Q8CEV2",22.5468189746649,22.4464567490728,22.2824360792882,22.3268545351318,22.4563540897117,22.6052473348711,22.5468189746649,22.4511794166737,22.5061824757907,22.6371451414155,22.4266230745619
