Total protein number combining all batches: 1248
  In any 2 batche(s): 606
  In any 1 batche(s): 642
Batch-specific protein numbers:
  batch1: 311
  batch2: 331

Protein Group#	Protein Accession #	Protein Description	GN	GPCRs	TFs	epigenetic_regularos	kinases	oncogenes	batch1	PSM#	Total Peptide#	Unique Peptide#	%Coverage	sig126	sig127N	sig127C	sig128N	sig128C	sig129N	sig129C	sig130N	sig130C	sig131	batch2	PSM#	Total Peptide#	Unique Peptide#	%Coverage	sig126	sig127N	sig127C	sig128N	sig128C	sig129N	sig129C	sig130N	sig130C	sig131
SJPG0102240.001	sp|Q15723|ELF2_HUMAN	ETS-related transcription factor Elf-2 OS=Homo sapiens OX=9606 GN=ELF2 PE=1 SV=2	ELF2	-	O	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	2	1	0	1.52	255559.686240753	508970.8340719	204480.392458097	180716.525318453	222532.085146614	190303.658316432	211515.504618202	202582.996792244	850467.038224048	821270.786154648
SJPG0100100.001	sp|P07197|NFM_HUMAN	Neurofilament medium polypeptide OS=Homo sapiens OX=9606 GN=NEFM PE=1 SV=3	NEFM	-	-	-	-	-	batch1	1	1	0	1.53	280949.79164869	204973.442574117	178118.117155633	218085.689952121	373781.892875766	240675.168408129	178020.362740684	181239.751394762	192658.807267214	221895.200640587	batch2	1	1	0	2.29	370934.589735561	196763.293665943	358866.175772256	660193.635611123	446453.651377055	466249.455302009	421693.772193375	584058.84118459	233721.520219205	236737.319925396
SJPG0103088.001	sp|O75069|TMCC2_HUMAN	Transmembrane and coiled-coil domains protein 2 OS=Homo sapiens OX=9606 GN=TMCC2 PE=1 SV=3	TMCC2	-	-	-	-	-	batch1	2	2	0	1.83	961979.159270401	862849.24998143	471123.304137527	1089520.16971831	397186.228347659	165711.520096239	1046274.97669619	873365.560262952	790504.844229215	200519.905204592	batch2	1	1	0	1.83	670892.131934774	254961.739871961	1345393.73469347	359122.760579371	790935.59494554	294606.411566158	385652.308366788	310056.197058421	129224.711812817	124582.583165616
SJPG0107801.003	tr|A0A0S2Z4Z6|A0A0S2Z4Z6_HUMAN	Serine/arginine repetitive matrix 1 isoform 2 (Fragment) OS=Homo sapiens OX=9606 GN=SRRM1 PE=1 SV=1	SRRM1	-	-	-	-	-	batch1	75	28	0	19.93	991595.969451525	1144647.84147278	1018311.57138895	1049497.54576437	970524.846992744	1085801.14786479	997527.247876498	1060994.66523504	1033903.51522394	1063432.52002349	batch2	73	25	0	16.78	795698.069806884	945513.105225383	785068.596877747	795025.811941087	756741.134850624	784314.616130986	781015.199481252	776227.568366092	874665.998205209	898832.137318853
SJPG0134560.001	cu|CCDC81_H303Q|snp	CCDC81|uc001pbx.2|H303Q|chr11:86118683-86118683.C_A	NA	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	11.48	801464.740878573	437233.740832809	784050.508993201	735004.422937799	767267.674951943	764372.102239821	655242.533753555	701812.008203966	442802.085941728	408674.577710442
SJPG0109165.001	sp|Q8IVG5|SAM9L_HUMAN	Sterile alpha motif domain-containing protein 9-like OS=Homo sapiens OX=9606 GN=SAMD9L PE=1 SV=2	SAMD9L	-	-	-	-	-	batch1	1	1	1	0.44	609070.298863117	708264.034550889	729653.407662987	682911.516453429	680024.515636377	815264.459658555	704983.74330256	610104.29168822	710416.999748407	819905.835698719	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0106055.001	sp|Q96BZ9|TBC20_HUMAN	TBC1 domain family member 20 OS=Homo sapiens OX=9606 GN=TBC1D20 PE=1 SV=1	TBC1D20	-	-	-	-	-	batch1	1	1	0	1.99	409724.762638215	297547.312046555	257981.961698488	372345.62709407	316705.390083198	212436.361736268	356982.538013549	344617.577641374	347757.550849208	211749.641223359	batch2	1	1	0	1.99	272924.809769127	161771.149710433	247546.521487158	186564.999077131	207008.757847523	173710.036021598	231362.175067767	174659.32479523	135149.862576749	134428.810399288
SJPG0103565.001	sp|Q9NZN1|IRPL1_HUMAN	Interleukin-1 receptor accessory protein-like 1 OS=Homo sapiens OX=9606 GN=IL1RAPL1 PE=1 SV=2	IL1RAPL1	-	-	-	-	-	batch1	1	1	1	1.29	722471.902579255	692459.037387202	608520.158804229	614164.257178143	673792.396106247	761886.459088382	549208.245413429	631092.360413295	595202.095846299	696829.902941702	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0100191.001	sp|Q9UK76|JUPI1_HUMAN	Jupiter microtubule associated homolog 1 OS=Homo sapiens OX=9606 GN=JPT1 PE=1 SV=3	JPT1	-	-	-	-	-	batch1	62	6	0	37.01	7219416.72617987	4929424.69684886	4788859.36516	4644476.42764597	7155150.8502917	4454641.16344264	4752111.55464495	4787081.20737795	5029278.325679	4718797.90480507	batch2	61	6	0	37.01	3380109.13149956	2317014.05704841	3155910.83106724	3203692.9600538	3408188.53914458	3115569.11430796	2950796.21107536	3050899.44071161	2314581.08234996	2227570.01784593
SJPG0104253.001	sp|Q658Y4|F91A1_HUMAN	Protein FAM91A1 OS=Homo sapiens OX=9606 GN=FAM91A1 PE=1 SV=3	FAM91A1	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	0.95	591926.456905052	507182.598476939	621691.609339864	501895.31280014	609033.29169272	489737.128363569	512240.283575581	457763.318111674	489143.105873671	455384.642827352
