Sample,Group
EA100915_05,HEK293_EColi_1x_DIA
EA100915_06,HEK293_EColi_2x_DIA
EA100915_09,HEK293_EColi_1x_DIA
EA100915_10,HEK293_EColi_2x_DIA
EA100915_13,HEK293_EColi_1x_DIA
EA100915_14,HEK293_EColi_2x_DIA
EA100915_18,HEK293_EColi_2x_DIA
EA100915_21,HEK293_EColi_1x_DIA
EA100915_25,HEK293_EColi_1x_DIA
EA100915_26,HEK293_EColi_2x_DIA
EA100915_29,HEK293_EColi_1x_DIA
EA100915_30,HEK293_EColi_2x_DIA
EA100915_33,HEK293_EColi_1x_DIA
EA100915_34,HEK293_EColi_2x_DIA
EA100915_38,HEK293_EColi_2x_DIA
EA100915_41,HEK293_EColi_1x_DIA
