	batch4.sig126	batch4.sig127N	batch4.sig127C	batch4.sig128N	batch4.sig128C	batch4.sig129N	batch4.sig129C	batch4.sig130N	batch4.sig130C	batch4.sig131N	batch4.sig131C	batch5.sig126	batch5.sig127N	batch5.sig127C	batch5.sig128N	batch5.sig128C	batch5.sig129N	batch5.sig129C	batch5.sig130N	batch5.sig130C	batch5.sig131N	batch5.sig131C
sp|P00159|CYB_RAT	123429.282496513	114856.234750314	106388.660644989	103072.944517029	97686.1297493423	103492.524027266	129313.059695932	117990.349148199	100175.329667614	95459.1515324731	98744.9382118903	90410.4217220079	97728.4881470394	79944.9325519964	113182.120316328	68357.4732349569	69635.6549409125	78265.5342007446	76523.935854389	66794.1068867744	74327.9370333131	72566.0559244634
tr|F1LQC5|F1LQC5_RAT	251475.033423046	250283.847017406	243736.252546833	240683.346928668	235848.677102826	238838.205228586	231690.772907759	243226.341987495	226375.765999287	238481.456072053	232397.540514272	199313.240667802	199799.430770435	206953.487403098	198276.8667579	208998.522986557	199177.552568202	210507.722277757	198539.321519161	196019.792821287	191198.620348007	212185.223510122
sp|O08590|AOC3_RAT	133103.668715639	154679.617630416	149411.210655042	135405.060071713	136727.915249963	153635.559508223	120383.359214521	101892.571183966	151845.923591038	161894.983916592	150549.81107698	139526.337452854	147342.127735007	142300.360536209	150788.044236858	147410.197749526	138674.414478234	129883.417398907	147523.985408823	139332.901443716	170018.753036335	144573.379246111
sp|Q8CJB9|BRE1B_RAT	186116.923976101	179028.202639961	186208.878699914	187677.118893657	180978.785033169	191282.876710706	191486.593156175	173827.261461238	181126.715216128	180627.683720854	189115.136711546	193975.013676209	190582.05313765	184521.890308188	178733.991190759	177473.850988504	193061.096305211	182465.611136451	192922.481741923	195623.23781667	186925.427632309	190040.834457299
tr|D3ZNI9|D3ZNI9_RAT	129813.28978467	131129.885174968	129689.61362725	122178.277662926	142526.941088869	138142.237597139	137962.664181215	135301.216262118	138281.975808663	133759.855545944	134473.291666704	108901.176283044	110789.612929163	108826.222611418	114256.16378482	108651.307669013	118722.059331529	114935.689387863	112343.465747405	117767.080654917	105197.320408665	108627.206939683
tr|Q5XIL4|Q5XIL4_RAT	100548.258257913	112648.246150088	109890.531384126	108776.116016938	116145.591111623	120979.004072714	102185.325148578	109895.105497507	114437.709718747	128799.079233884	111520.768107152	101339.156003415	106907.299926547	115956.761041909	112206.135618785	108112.280151887	95372.9054101333	105253.388141748	115336.683248776	105061.04052986	112230.752629336	106607.171635348
sp|P31016|DLG4_RAT	1875405.31341176	1954396.18604792	1807414.24303042	1920101.78733898	2010123.62271478	1935495.75582709	1873591.25867696	1989684.59257215	1936510.76028647	2008358.98431792	1933109.03746736	1901214.79859876	1972805.44971217	2000343.7654928	1982631.12452132	1888213.62477956	2015981.12103157	1969884.4420553	1955930.8203809	1974391.96793719	1998796.35068226	1920575.62705307
tr|A0A096MKH2|A0A096MKH2_RAT	909780.644345292	930878.935929317	914365.283308864	835516.004556145	856909.754344912	894817.436877118	996332.274193789	847729.517611826	920009.520803056	882938.886787402	901439.428043444	500568.905173327	481790.785382313	476332.566927508	484224.94487003	482984.389494999	498515.097114379	493613.225908854	486191.774932693	494090.970959971	494726.435922961	468359.307965612
tr|D3ZJB7|D3ZJB7_RAT	46620.7989895697	40672.1724689448	43136.128605735	53915.5279256785	58140.3931931039	55112.7621334107	61825.5544631685	63797.6305462786	62229.1079552161	68468.237045073	48943.3867564864	36520.1328297455	37985.9380521784	46595.8024783838	43120.9451970392	40270.7795788274	39396.9318180313	41110.3079889774	44440.5954693183	35954.2489606854	41547.8576609066	43868.5380188695
sp|Q64542|AT2B4_RAT	5125268.32051237	4732322.72198159	4619377.49662975	4527915.79449319	5339428.6338313	5290842.45127198	4730341.13070494	4944143.35112599	4866433.52708954	4894296.31777517	4799609.97930536	3040450.0212354	3077149.87077686	3231965.6978508	3068694.86580553	2985348.87265184	3172034.77125508	3317319.60370419	2855428.95645465	3050629.6149224	2927317.10106082	3166232.94843916
sp|Q4FZU8|RIPR1_RAT	187485.057668162	184630.418717777	205088.854125426	183782.735147283	193293.43381124	202145.413308646	158228.2757337	214440.881141681	202392.756305523	192667.701132743	192744.640017552	173446.315885162	167194.436538763	174240.968050127	169283.264938854	173057.775703367	153181.266252182	172813.44667886	170586.783070419	163295.378647224	160572.331986078	170040.344133999
tr|B4F7A5|B4F7A5_RAT	222491.102177338	221739.469779876	244551.611343997	248112.402290894	227282.927215025	233142.386156268	265302.016061247	203558.85310698	224987.86679803	231968.001819453	243355.32891397	310529.715365539	296577.084946274	322217.533807544	338775.217898472	341212.758988961	378654.097217722	333363.089033656	399508.900398819	417272.379859765	383897.338283386	352545.145959031
sp|Q9WVS9|CLOCK_RAT	103091.231709394	99646.6839660063	104534.80090256	96950.9170081656	85737.4429330997	97003.9706240031	89627.2843820422	83168.6742943699	86357.9267289222	94534.9129471181	86974.0770097007	104945.85244944	86874.4143502252	98879.6984369761	101336.010147603	110268.821915864	104793.526203567	88188.9279154569	94233.583310316	117740.005582226	114932.401607672	102152.973951564
sp|Q63965|SFXN1_RAT	946392.099618606	953520.285381016	979706.256053004	1003468.60300942	970861.422541036	1037663.06017346	864122.13767289	790602.842089077	944336.345939441	880557.906830771	904168.865614661	678024.010174398	725880.124081574	668386.383289522	744798.726631754	669968.221233404	744322.436400595	726403.652281464	678946.291625336	687823.73100893	621690.915005209	693042.158528617
sp|Q6AZ28|PIAS2_RAT	21262.2627388732	19068.0334970685	18574.5432847489	19364.5217633623	19924.6296563402	20342.8522747909	15226.9281974514	16330.2424578055	19701.9340986401	15421.7571031752	17440.7924600451	34387.0600568458	30264.0730821396	29873.2163119791	32470.8397690286	30935.1634107255	31657.1650837975	29012.1671416698	33106.6050123653	29237.6418855972	28364.7802173709	34066.0710200399
