"","sig126","sig127N","sig127C","sig128N","sig128C","sig129N","sig129C","sig130N","sig130C","sig131N","sig131C"
"Q8N1N4-2",4.08351284999646,4.08039418402605,3.98470829173034,4.00941689923889,4.1828121988525,3.83814185159993,4.00675929865612,3.98346761853196,3.8327587890975,4.00912121214902,4.25300515176415
"Q8R3W2",5.25516649318751,5.213170841104,5.29117681098255,5.30362639979708,5.3035933816806,5.3029466184469,5.27347969408212,5.29269686255566,5.40652774257282,5.2962118791161,5.30030812499684
"M0QWF3",5.04904534077722,5.01456720778662,5.06387948888543,4.98615565107942,4.97838016507774,5.01730643174614,5.08719254618531,5.03303444595295,5.01088263984962,5.02601707854973,5.01880651556137
"D3Z687",4.42481515477218,4.36616679364773,4.38744308893472,4.39703511669876,4.48627113751689,4.39099861396735,4.38375474339233,4.40102942342545,4.63173264292866,4.3960886107347,4.43446266468625
"A0A0J9YTR2",4.83212217715424,4.74770742737604,4.88502505302077,4.86798243908204,4.84112568908967,4.86154564759055,4.87049464888791,4.86724947176505,4.95560297612569,4.87112841454232,4.84324020584093
"D3YVR9",4.81661497808437,4.90785113704021,4.8708785454288,4.88385456298525,4.83249853549881,4.82202997812624,4.85852117258958,4.82182694616222,4.68312624461715,4.80923098096121,4.80899243682558
"D6RI64",4.58771246540837,4.77125657758115,4.74227557402317,4.76081411264671,4.69088441809261,4.71085809930037,4.82236140542693,4.72280260815853,4.531716800422,4.7070625740561,4.74624771842356
"Q810Q1",4.63373286182908,4.43577757231105,4.63901054014059,4.61085789141438,4.64268476891623,4.54134345851044,4.63603132989524,4.6003063667836,4.69422446905425,4.55029890390687,4.59806140383618
"Q571N2",4.87485259968582,4.79509038878872,4.78253248760628,4.77708597000002,4.90220200155823,4.83202816853608,4.82893182516135,4.82532923059854,4.80473792889008,4.82335550630746,4.82653721948457
"D3YWR8",5.0073826785644,5.04437443284203,5.03581128376186,5.04801155894537,5.00544653508591,5.03687476815155,5.01070017768919,5.03456139726249,4.80636282320353,4.99960607647404,5.0320267912969
"Q8K039",4.72434171504241,4.70295649054815,4.69239603598036,4.69577285674915,4.73704827521417,4.71767551083804,4.70304018222757,4.71316938297311,4.58877568937234,4.69470504254869,4.71250608455707
"Q8VC96",6.48213111490414,6.51622774560721,6.3064100313714,6.29910051317083,6.59697521993418,6.58954094444159,6.55138618993659,6.55885306182204,6.41980712664587,6.45109470357511,6.46883742099796
"A0A1W2P6X0",5.29635902693235,5.21373378003933,5.37199618751148,5.40449877363391,5.29543803287421,5.33134258119542,5.37653405905153,5.33070214471012,5.12038877832656,5.30489742893133,5.35858099837641
"P0C913",5.23748477615137,5.11717604675237,5.30966390781601,5.24324139780507,5.16365762148494,5.19713151688043,5.30643605034092,5.20527464844339,5.14191652984916,5.23660219197275,5.28340371757162
"Q8WUR0",4.08459620069203,3.85951461580334,4.00029817323992,4.02415088524294,4.11616925482257,4.00907329366593,3.98492879592196,3.92430604077654,4.24508164769208,4.01923320382278,4.04337225528183
"Q14AA6",5.7606920871713,5.69286204338528,5.75640055895917,5.8106836024106,5.75851642459552,5.7543367600796,5.74284006881722,5.77594865680121,5.80739026468785,5.772080114952,5.76231785834678
"Q9DA82",5.3732559738778,5.4375406418224,5.38735906474073,5.40777891454643,5.3446346732242,5.38054673920895,5.38211478873924,5.35460893637645,5.20565234476081,5.34309199731077,5.33528139663649
"Q3TJL3",4.97344203510241,5.06619752930816,5.00053701086058,5.01666842711029,4.98910456974281,5.01842492919879,5.00082285425318,5.00668049012081,4.98622989278447,4.99958590680313,5.03848481422399
"F8WIU1",4.67251224092716,4.59725425800593,4.55135726986209,4.70160731628139,4.70373861761291,4.61912927786474,4.58175525961871,4.69999063336401,4.66864476925789,4.609517592918,4.63233124892623
"Q3V2K0",5.94339967685685,6.0605275106489,6.00903316501368,5.46118096425205,5.9498492684181,5.98106353114404,5.9824449873662,5.69023641055256,5.87617125152009,6.01183496465398,5.91242425003229
"Q9CSS6",4.16887581634271,4.0609323889276,4.12742237900478,4.22599568120977,4.09674907048357,4.22016271335628,4.20828865492978,4.21614943284054,4.10984218013091,4.20997254396565,4.12551561427058
"Q9CPN7",4.7939810979338,4.49797205880522,4.34970440843085,4.37901814460089,4.59828380433929,4.57054881239086,4.70486410188888,4.55057244157438,4.42531542003108,4.48969295692318,4.48998485280789
"Q9D927",4.83855367123183,4.82926144391335,4.89347909896593,4.87794558949548,4.85931539284157,4.87491245862993,4.81850054869691,4.8444104077468,4.91352670985327,4.89581467787961,4.89078951455226
"A2BDN9",4.98727605288546,5.00688100678586,4.92832168624923,4.96219106927415,4.97947478805932,4.99606013566492,4.89220975830978,4.99123680179174,4.99226513278896,5.02382265712943,4.95731508988262
"Q9D7Y7",4.64688606933654,4.55191316812291,4.67949911415898,4.58762935263242,4.64174700114171,4.57114011062975,4.60810356406367,4.63266659577481,4.77958842910471,4.53345224897151,4.58835254130357
"G3X8U3",5.38899036571258,5.40568951070753,5.29512802097639,5.41036297394092,5.39003266960625,5.39370571204916,5.29147359471069,5.39085796390301,5.40368787219088,5.39449342117453,5.37283225899847
"A0A0R4J099",4.77419436272578,4.82586943372118,4.91367634521854,4.88219892057061,4.77093499871331,4.8314579958803,4.90160763417723,4.83091213222697,4.68557891561792,4.85163780655566,4.84254541871687
"Q9D7T5",5.32806597874689,5.1361746317341,5.3141170600891,5.30994000965138,5.29170608103972,5.28059003470568,5.3087527813886,5.26404987165384,5.34128731000833,5.31838584482934,5.36162298542907
"G5E8E3",4.3213636524915,4.29056769767599,4.3118802503215,4.27298550167618,4.17616703248917,4.24383613411526,4.28537894184438,4.30521752119333,4.0884241509021,4.34710074530841,4.31125929439328
"Q3UM69",5.283644599956,5.28153640991494,5.39639681322256,5.34850861601226,5.35337665149729,5.30940897176162,5.3839928879417,5.3018721814893,5.54663680350613,5.34750548070606,5.33779888552004
"Q6PDX4",5.02744483220138,5.03995045962886,5.20769106133103,5.06958052521539,5.09405883085726,5.10297642252735,5.17126297126092,5.01982834955635,5.31422384218748,5.08649055286108,5.05119226571565
"Q3T9M2",4.48395645578345,4.45559065674739,4.54275764833665,4.42573602077024,4.39039662552345,4.44586657127478,4.54678320105549,4.549496145821,4.67535268819698,4.40042875206056,4.4224301434241
"Q3TE80",4.74293581974278,4.70885757584554,4.80175870594315,4.71963149162027,4.66092242487962,4.71172943377614,4.79882161327303,4.79781923763405,4.81542115886271,4.67629466191174,4.72236187160956
"D6RCI4",4.36299588724488,4.36781389109252,4.34715146191927,4.30500114865131,4.40181139008493,4.33374145983007,4.37408071757096,4.33746373879376,4.31294358765237,4.31454796011104,4.37795291061856
"A0A087WQ28",4.9480513319552,4.89146676527981,5.00069673014846,4.9324716258223,4.96551037613965,4.920957179967,4.94630603894437,4.88964661230685,4.99148338850677,4.90185379172968,4.94434467062565
"Q9CWU4",4.82733362480313,4.81667503727125,4.84378161279513,4.77265486228615,4.86862296132582,4.80509245540876,4.85224574998657,4.78468960127953,4.78927944569357,4.78701450793959,4.83471628588843
"A0A087WSJ3",4.39375876312246,4.4029138728129,4.50773113128661,4.57052109992412,4.48574479756639,4.57345128789353,4.59719548842085,4.53578190652525,4.28276326871888,4.51702606352457,4.53835153698173
"Q3TU38",5.09945637679052,5.25848301446969,5.10069449274283,5.07926651103665,5.09079456970307,5.10501121270235,5.06815204373705,5.05992031088329,5.12107207531271,5.135407757071,5.04792751436119
"B1AV75",5.48883782784824,5.50084820602249,5.43386281049923,5.51579181971825,5.51202164865665,5.47703497369547,5.44739926160511,5.49641637173039,5.438801883761,5.50826810360871,5.47403073961375
"A0PJA0",4.33458057919098,4.21715454145829,4.20442634288973,4.19501216835257,4.47572367436147,4.11244166571015,4.22159118187911,4.18183304446108,4.70339986096197,4.15477464010101,4.29340093227109
"Q3UXZ8",5.19088435540041,5.15740184046228,5.02989760885882,4.96801020636606,5.119932410676,5.12884266183368,5.05799719946625,5.08863746921595,4.88164989630146,5.18752562354228,5.0746959375522
"Q9CZH1",4.04047824271184,4.02515849684781,3.99488966680933,3.94229423878113,4.03663259443369,4.03598245374,3.99016300417279,4.03669994739176,4.01291376088743,4.06899710546727,4.01156698402833
"Q9CSU7",4.31186969291903,4.31096187599647,4.19743022633378,4.2411686534134,4.21461129100947,4.31248198144527,4.27965277564416,4.24912808799754,4.27844688556712,4.29183870687151,4.23658626825127
"Q6NSU2",4.61360037125525,4.71760387545418,4.52610722214244,4.77022834565386,4.69452166606986,4.62777893982683,4.4736447688255,4.65419213951048,4.52654267422764,4.5920384290148,4.58885294483853
"B7ZMV2",4.85092124038798,4.89657839808837,4.8998714688166,4.92111340673802,4.90300349873187,4.92260456227756,4.8863225895882,4.85633761157693,4.92076887632784,4.90729216670367,4.87076484202461
"A0A1B0GR85",6.4343105101001,6.53372305785126,6.38593970071286,6.36926946831162,6.44339770693298,6.48352547199696,6.39254464005063,6.40881138185431,6.43046693868085,6.50644667581186,6.46513688233829
"A0A1D5RLN6",6.43086012026907,6.56719733907153,6.38758410260495,6.38428798004712,6.42995297405834,6.48627008164391,6.39382648336178,6.40689939536158,6.3880560914198,6.52315043559902,6.45548743525059
"Q922W7",5.88071059170269,5.80659308423581,5.80340826931713,5.57311743653188,5.85841328921362,5.69896900163576,5.81768350948409,5.54966387772457,5.82602914888587,5.71850653076704,5.7259211626686
"Q9CXD2",5.84354907078644,5.79550330130294,5.80250601343825,5.60706373607878,5.85412103510544,5.70973937962536,5.79304371611569,5.57627063093882,5.82437027973961,5.72290748596756,5.72994117300104
"Q8CEV2",6.78726881817994,6.69203384534864,6.70768163633107,6.72105292390107,6.76003617425474,6.73983457470297,6.72224588568345,6.75847844245254,6.71001308060355,6.74943677126873,6.75108624689312
"A0A0G2JEY4",4.4658835783257,4.28931897959677,4.49453867355334,4.44056360961413,4.44018238014228,4.43480545728356,4.48628295223302,4.44781233873071,4.34127517812803,4.46275328931681,4.47174580224345
"Q9CXL3",4.58376082532579,4.45682781491105,4.61316763202528,4.55435140514664,4.58092035719712,4.57386229303237,4.62023409145885,4.58513685013041,4.5127301041063,4.58970370687147,4.59513995050995
"D3Z1F7",5.28507068291382,5.28796872501485,5.31419781418509,5.22708270597726,5.29524734329872,5.29422221264937,5.32489249628394,5.24494342837037,5.2643372017385,5.35271701557918,5.28988299363135
"Q3V0A7",4.67019709883328,4.61385602951896,4.59672861658151,4.53339701675084,4.65705553019723,4.67238686188893,4.61872072604548,4.61841362695842,4.71361739189762,4.6975905187409,4.65981170337428
