protein,species,quant,EA100915_05,EA100915_06,EA100915_09,EA100915_10,EA100915_13,EA100915_14,EA100915_18,EA100915_21,EA100915_25,EA100915_26,EA100915_29,EA100915_30,EA100915_33,EA100915_34,EA100915_38,EA100915_41
>sp|A0AV96|RBM47_HUMAN RNA-binding protein 47 OS=Homo sapiens GN=RBM47 PE=1 SV=2,human,dia,275257.5547,232566.9527,262788.4718,282745.1089,258645.8513,177168.6613,178709.0898,267668.3389,255687.7904,264630.7997,247990.3984,283442.2426,319695.2838,231392.2082,218730.546,274111.8545
>sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens GN=UBA6 PE=1 SV=1,human,dia,178036.4473,149344.0684,174995.5302,113166.7732,146317.9463,125298.008,125560.6059,126765.5394,189169.2022,146426.3591,177996.943,146653.8448,122515.1944,113082.8028,134429.0065,133486.4942
>sp|A0MZ66|SHOT1_HUMAN Shootin-1 OS=Homo sapiens GN=SHTN1 PE=1 SV=4,human,dia,13702.27148,9529.211655,18871.59772,10062.77699,14780.50101,NA,13545.33042,19907.46416,18376.70655,10813.53021,7459.330214,16922.23622,20097.20683,61.37855431,20112.88446,22531.24853
>sp|A1L0T0|ILVBL_HUMAN Acetolactate synthase-like protein OS=Homo sapiens GN=ILVBL PE=1 SV=2,human,dia,179521.9922,129831.8076,137506.1742,200500.0439,130771.3371,171349.9216,183163.4954,154301.3072,172034.8224,199278.8013,152440.7334,168578.2354,195155.9776,106876.5587,155337.2519,135521.8547
>sp|A3KMH1|VWA8_HUMAN von Willebrand factor A domain-containing protein 8 OS=Homo sapiens GN=VWA8 PE=1 SV=2,human,dia,46577.58594,65952.63606,80267.99513,81761.6452,75535.16439,68649.49278,34350.68883,58098.07536,76823.53058,69908.31398,80327.28613,88954.24495,60788.52704,60480.0389,72126.58034,83046.89366
>sp|A4D1F6|LRRD1_HUMAN Leucine-rich repeat and death domain-containing protein 1 OS=Homo sapiens GN=LRRD1 PE=2 SV=2,human,dia,135797,196904.1763,113169.4942,134654.3522,187216.0902,257193.0875,237826.5031,158996.278,164608.6945,152080.2255,148005.0758,205999.3904,135587.19,103147.3865,176366.3826,46402.75898
>sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2,human,dia,440207.0899,541200.0957,397059.7348,471636.7862,325875.8129,774858.8271,655618.3232,684031.4526,478020.6418,511729.8765,432838.7135,462027.2542,424662.019,479565.7999,411035.3599,373680.8162
>sp|A6NDG6|PGP_HUMAN Glycerol-3-phosphate phosphatase OS=Homo sapiens GN=PGP PE=1 SV=1,human,dia,362267.6836,517596.0186,593559.4672,451750.5274,373560.3579,639830.5181,732097.795,643913.5831,418418.218,568618.9014,478321.1287,539197.405,415725.7798,619639.0991,783990.7791,552179.0523
>sp|A6NFQ7|DPRX_HUMAN Divergent paired-related homeobox OS=Homo sapiens GN=DPRX PE=3 SV=1,human,dia,144570.7031,233236.5677,147923.2995,159064.0361,82004.93914,137967.168,145779.1253,267159.6914,162605.7709,240610.2057,241293.8504,120904.1989,192317.8916,168532.5913,292526.5561,149553.3225
>sp|A6NHL2|TBAL3_HUMAN Tubulin alpha chain-like 3 OS=Homo sapiens GN=TUBAL3 PE=1 SV=2,human,dia,125414.9219,84523.96284,182163.6786,169749.0214,152154.6293,112506.9471,124717.7279,164976.5121,115490.849,122728.288,148715.9986,131732.2118,161509.4432,239253.5797,66122.59614,128816.7077
>sp|A6NHQ2|FBLL1_HUMAN rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1 OS=Homo sapiens GN=FBLL1 PE=3 SV=2,human,dia,1023524.75,1082678.197,1035421.482,913443.8098,897969.9458,1107032.573,1062896.868,1128896.457,894885.5129,1049637.703,1104842.155,956061.0066,366287.2543,1172679.557,1194098.652,1291234.395
>sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens GN=SMCHD1 PE=1 SV=2,human,dia,33599.21484,35703.01017,27277.51392,40386.32904,30184.53243,26685.89077,30218.73613,32641.36375,36807.27854,45770.27834,34713.31259,28039.21995,37970.53863,25687.59897,39608.61093,30437.30263
>sp|A8MWD9|RUXGL_HUMAN Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens GN=SNRPGP15 PE=5 SV=2;>sp|P62308|RUXG_HUMAN Small nuclear ribonucleoprotein G OS=Homo sapiens GN=SNRPG PE=1 SV=1,human,dia,446906.9375,415752.5972,492118.6556,400546.3235,503958.1728,418786.4587,516448.3722,423721.5866,251643.0316,365648.0162,624811.0709,435830.0485,603769.7005,479969.4326,516980.6649,498128.4717
>sp|B1ANS9|WDR64_HUMAN WD repeat-containing protein 64 OS=Homo sapiens GN=WDR64 PE=2 SV=1,human,dia,208471.4844,140316.0802,157750.0019,233702.043,156094.0503,212867.2186,164951.7136,244721.3321,202016.9661,135951.9866,114133.7531,168416.0439,157876.23,218437.4415,181366.4684,220328.058
>sp|B5ME19|EIFCL_HUMAN Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens GN=EIF3CL PE=3 SV=1;>sp|Q99613|EIF3C_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens GN=EIF3C PE=1 SV=1,human,dia,1828362.297,1900787.856,1784113.596,1881528.211,1669540.771,1784042.126,2048616.788,2020544.64,1637222.247,2181423.585,2074913.687,1934492.29,1921541.756,1969620.975,1886689.172,2294315.496
">sp|E9PAV3|NACAM_HUMAN Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens GN=NACA PE=1 SV=1;>sp|Q13765|NACA_HUMAN Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens GN=NACA PE=1 SV=1",human,dia,3154577.547,2962964.757,3664167.536,2917740.368,3055734.616,3398243.981,4030426.26,3565161.498,2799718.393,3023556.663,3489669.737,2935951.624,3220556.37,3020429.289,3230681.192,3688124.25
