Total protein number combining all batches: 8864
  In any 2 batche(s): 8837
  In any 1 batche(s): 27
Batch-specific protein numbers:
  batch1: 15
  batch2: 12

Protein Group#	Protein Accession #	Protein Description	GN	GPCRs	TFs	epigenetic_regularos	kinases	oncogenes	batch1	PSM#	Total Peptide#	Unique Peptide#	%Coverage	sig126_B1	sig127N_B1	sig128N_B1	sig128C_B1	sig129C_B1	sig130N_B1	sig131C_B1	sig132C_B1	sig134N_B1	batch2	PSM#	Total Peptide#	Unique Peptide#	%Coverage	sig127C_B2	sig129N_B2	sig130C_B2	sig131N_B2	sig132N_B2	sig133N_B2	sig133C_B2	sig134C_B2	sig135N_B2
SJPG0102405.001	sp|Q9BQ70|TCF25_HUMAN	Transcription factor 25 OS=Homo sapiens OX=9606 GN=TCF25 PE=1 SV=1	TCF25	-	-	-	-	-	batch1	23	9	0	19.08	67657.45	43575.47	46717.51	39338.93	45360.91	44372.33	56620.06	44257.11	47712.74	batch2	23	9	0	19.08	69069.15	55285.72	59011.99	41454.35	53664.88	39551.82	44979.80	37498.90	38988.93
SJPG0101368.001	sp|P84085|ARF5_HUMAN	ADP-ribosylation factor 5 OS=Homo sapiens OX=9606 GN=ARF5 PE=1 SV=2	ARF5	-	-	-	-	-	batch1	155	10	1	48.89	2242033.49	1175041.13	1527280.63	1172473.88	1465328.04	1339967.69	1517168.17	1262963.57	1361156.99	batch2	155	10	1	48.89	1632038.48	1687042.69	1687605.91	1099215.49	1627104.19	1108390.52	1653384.80	1255652.70	1263331.00
SJPG0109254.001	sp|Q8NB46|ANR52_HUMAN	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C OS=Homo sapiens OX=9606 GN=ANKRD52 PE=1 SV=3	ANKRD52	-	-	O	-	-	batch1	3	2	2	2.04	78399.56	43395.40	47756.00	34030.74	47468.69	37069.88	50684.98	37999.48	37065.77	batch2	3	2	2	2.04	54154.92	60712.95	60487.85	34511.92	45658.89	37020.83	46742.81	40594.56	31550.38
SJPG0113218.001	sp|Q8N5I4|DHRSX_HUMAN	Dehydrogenase/reductase SDR family member on chromosome X OS=Homo sapiens OX=9606 GN=DHRSX PE=1 SV=2	DHRSX	-	-	-	-	-	batch1	2	1	0	2.42	32935.07	24401.51	24594.76	19062.35	16697.54	27036.81	32974.16	23027.32	31224.03	batch2	2	1	0	2.42	24772.71	27596.95	34890.16	25461.05	28226.64	22530.69	23342.52	24017.25	18624.72
SJPG0106055.001	sp|Q96BZ9|TBC20_HUMAN	TBC1 domain family member 20 OS=Homo sapiens OX=9606 GN=TBC1D20 PE=1 SV=1	TBC1D20	-	-	-	-	-	batch1	1	1	0	3.72	43492.96	18573.98	26567.56	19114.81	23467.61	16176.81	27696.27	21351.28	21934.17	batch2	1	1	0	3.72	28038.77	24985.51	31989.02	25920.55	21717.03	19763.45	26815.62	18616.69	16230.35
SJPG0102717.001	sp|Q15545|TAF7_HUMAN	Transcription initiation factor TFIID subunit 7 OS=Homo sapiens OX=9606 GN=TAF7 PE=1 SV=1	TAF7	-	-	O	-	-	batch1	10	7	0	16.62	123040.90	68691.26	80828.04	58693.36	71561.17	71080.58	86197.61	68093.25	77342.21	batch2	10	7	0	16.62	88417.60	85401.90	89666.03	63693.43	94252.27	66838.41	87634.23	65798.00	59103.48
SJPG0109199.001	sp|Q8WUF5|IASPP_HUMAN	RelA-associated inhibitor OS=Homo sapiens OX=9606 GN=PPP1R13L PE=1 SV=4	PPP1R13L	-	-	-	-	-	batch1	15	7	0	10.14	55399.48	35808.91	42759.90	32362.56	37781.77	33024.98	43940.39	33155.95	35574.37	batch2	15	7	0	10.14	43505.54	44833.05	45383.18	29498.04	46731.80	32363.92	43116.92	30569.10	34105.85
SJPG0101133.001	sp|P16104|H2AX_HUMAN	Histone H2AX OS=Homo sapiens OX=9606 GN=H2AX PE=1 SV=2	H2AX	-	-	O	-	-	batch1	1061	8	4	28.67	124926190.60	66086558.59	78713445.22	54337733.61	65551682.90	66415264.56	83907718.21	61823300.67	73856950.95	batch2	1061	8	4	28.67	91752601.94	80279330.75	87348031.43	63866942.18	85935713.52	61901722.60	74465738.12	68238569.56	53027370.18
SJPG0118827.001	sp|Q9BVI0|PHF20_HUMAN	PHD finger protein 20 OS=Homo sapiens OX=9606 GN=PHF20 PE=1 SV=2	PHF20	-	-	O	-	-	batch1	2	2	2	3.46	49573.08	26351.92	37102.52	29114.90	32321.26	30851.86	44040.86	31197.72	36560.84	batch2	2	2	2	3.46	34787.07	35473.35	39673.56	31029.36	46079.16	26556.33	39802.46	32314.32	29564.45
SJPG0109259.001	sp|Q7L1T6|NB5R4_HUMAN	Cytochrome b5 reductase 4 OS=Homo sapiens OX=9606 GN=CYB5R4 PE=1 SV=1	CYB5R4	-	-	-	-	-	batch1	8	4	4	7.87	27145.34	19637.91	19493.00	14938.92	15804.22	16392.61	22220.60	18185.09	18376.99	batch2	8	4	4	7.87	22539.99	19034.00	20577.28	15556.64	20436.67	16131.44	20392.42	17881.25	18089.13
