Sample,Group
S1484_MOI50_day2_1,UBE2N_MOI50_day2
S1484_MOI50_day2_2,UBE2N_MOI50_day2
S1027_MOI50_day2_5,LV_ctrl_MOI50_day2
S1027_MOI50_day2_6,LV_ctrl_MOI50_day2
S1027_MOI50_day4_11,LV_ctrl_MOI50_day4
S1027_MOI50_day4_12,LV_ctrl_MOI50_day4
S1484_MOI50_day7_15,UBE2N_MOI50_day7
S1484_MOI50_day7_16,UBE2N_MOI50_day7
SNon_LV_ctrl_MOI0_day9_33,Non_LV_ctrl_MOI0_day9
SNon_LV_ctrl_MOI0_day9_34,Non_LV_ctrl_MOI0_day9
S1484_MOI50_day11_36,UBE2N_MOI50_day11
S1484_MOI50_day11_37,UBE2N_MOI50_day11
S1027_MOI50_day11_42,LV_ctrl_MOI50_day11
S1027_MOI50_day11_43,LV_ctrl_MOI50_day11
S1484_MOI50_day15_48,UBE2N_MOI50_day15
S1484_MOI50_day15_49,UBE2N_MOI50_day15
S1027_MOI50_day15_54,LV_ctrl_MOI50_day15
S1027_MOI50_day15_55,LV_ctrl_MOI50_day15
S1484_MOI50_day20_61,UBE2N_MOI50_day20
S1027_MOI50_day20_66,LV_ctrl_MOI50_day20
S1027_MOI50_day20_67,LV_ctrl_MOI50_day20
S1027_MOI50_day20_68,LV_ctrl_MOI50_day20
SIR_MOI0_day0_IR1,IR_MOI0_day0
SIR_MOI0_day0_IR2,IR_MOI0_day0
S1027_MOI50_day15_56,LV_ctrl_MOI50_day15
S1484_MOI50_day15_50,UBE2N_MOI50_day15
S1027_MOI50_day11_44,LV_ctrl_MOI50_day11
S1484_MOI50_day11_38,UBE2N_MOI50_day11
SNon_LV_ctrl_MOI0_day9_35,Non_LV_ctrl_MOI0_day9
S1027_MOI50_day7_23,LV_ctrl_MOI50_day7
S1484_MOI50_day7_17,UBE2N_MOI50_day7
S1484_MOI50_day4_7,UBE2N_MOI50_day4
S1484_MOI50_day4_8,UBE2N_MOI50_day4
S1027_MOI50_day7_21,LV_ctrl_MOI50_day7
S1027_MOI50_day7_22,LV_ctrl_MOI50_day7
S1027_MOI50_day7_23.1,LV_ctrl_MOI50_day7
S1484_MOI50_day9_27,UBE2N_MOI50_day9
S1484_MOI50_day9_28,UBE2N_MOI50_day9
S1484_MOI50_day9_29,UBE2N_MOI50_day9
S1484_MOI50_day20_60,UBE2N_MOI50_day20
S1484_MOI50_day20_62,UBE2N_MOI50_day20
S1484_MOI5_dayd2_3,UBE2N_MOI5_dayd2
S1484_MOI5_dayd2_4,UBE2N_MOI5_dayd2
S1484_MOI5_dayd4_9,UBE2N_MOI5_dayd4
S1484_MOI5_dayd4_10,UBE2N_MOI5_dayd4
S1484_MOI5_dayd7_18,UBE2N_MOI5_dayd7
S1484_MOI5_dayd7_19,UBE2N_MOI5_dayd7
S1484_MOI5_dayd7_20,UBE2N_MOI5_dayd7
S1484_MOI5_dayd9_30,UBE2N_MOI5_dayd9
S1484_MOI5_dayd9_31,UBE2N_MOI5_dayd9
S1484_MOI5_dayd9_32,UBE2N_MOI5_dayd9
S1484_MOI5_dayd11_39,UBE2N_MOI5_dayd11
S1484_MOI5_dayd11_40,UBE2N_MOI5_dayd11
S1484_MOI5_dayd11_41,UBE2N_MOI5_dayd11
S1484_MOI5_dayd15_51,UBE2N_MOI5_dayd15
S1484_MOI5_dayd15_52,UBE2N_MOI5_dayd15
S1484_MOI5_dayd15_53,UBE2N_MOI5_dayd15
S1484_MOI5_dayd20_63,UBE2N_MOI5_dayd20
S1484_MOI5_dayd20_64,UBE2N_MOI5_dayd20
S1484_MOI5_dayd20_65,UBE2N_MOI5_dayd20
