ProteinAccession,GeneName,ProteinDescription,Group1_1,Group1_2,Group1_3,Group1_4,Group2_1,Group2_2,Group2_3,Group2_4,Group3_1,Group3_2,Group3_3,Group3_4,Group4_1,Group4_2,Group4_3,Group4_4
sp|Q9P0S2|COX16_HUMAN,COX16,"Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial OS=Homo sapiens OX=9606 GN=COX16 PE=1 SV=1",,,,,,,,,66418.69,133249.69,,,,,,
sp|P53801|PTTG_HUMAN,PTTG1IP,Pituitary tumor-transforming gene 1 protein-interacting protein OS=Homo sapiens OX=9606 GN=PTTG1IP PE=1 SV=1,1809877.46,1723243.33,1747003.85,1677688.06,,,,,2136237.6,1373226.34,1846944.57,1811375.51,,,,
sp|Q1ED39|KNOP1_HUMAN,KNOP1,Lysine-rich nucleolar protein 1 OS=Homo sapiens OX=9606 GN=KNOP1 PE=1 SV=1,110665.04,,144860.71,112475.33,,,,104786.46,124128.22,,159099.35,,,,,
sp|P35716|SOX11_HUMAN,SOX11,Transcription factor SOX-11 OS=Homo sapiens OX=9606 GN=SOX11 PE=1 SV=2,46227.68,57582.49,48438.29,,31448.98,,,43321.22,41762.96,74076.33,38240.25,67892.09,,,,27795.22
sp|P55011|S12A2_HUMAN,SLC12A2,Solute carrier family 12 member 2 OS=Homo sapiens OX=9606 GN=SLC12A2 PE=1 SV=1,260171.83,260978.26,264945.99,267540.88,282507.61,292103,255707.37,254448.75,273162.95,286288.22,277857.52,272611.95,241560.14,274870.81,282678.36,260771.55
sp|Q8WXD9|CSKI1_HUMAN,CASKIN1,Caskin-1 OS=Homo sapiens OX=9606 GN=CASKIN1 PE=1 SV=1,102507.21,104659.86,108467.86,115739.03,112871.44,136557.96,137768.51,150364.42,82465.72,153472.33,104370.26,99313.47,100472.17,78570.47,116795.55,93310.81
sp|Q5TF21|SOGA3_HUMAN,SOGA3,Protein SOGA3 OS=Homo sapiens OX=9606 GN=SOGA3 PE=3 SV=1,320872.26,343933.39,349059.51,351504.84,280682.15,320020.29,368698.68,394766.18,331898.59,445331.83,385924.28,373098.69,365581.13,296337.03,328383.25,318671
sp|Q9Y4H2|IRS2_HUMAN,IRS2,Insulin receptor substrate 2 OS=Homo sapiens OX=9606 GN=IRS2 PE=1 SV=2,62574.95,71665.04,80551.6,79988.92,77098.88,99414,90363.96,127850.81,57042.21,110189.77,65993.96,70294.08,84423.46,69290.35,91855.4,87645.47
sp|P36578|RL4_HUMAN,RPL4,60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5,1064262.5,1010541.25,1038788.6,1007368.2,1006881.02,974786.83,916543.08,909121.29,1093731.06,987563.73,953954.87,1069988.71,908919.87,979766.04,910796.32,958877.21
sp|Q6SPF0|SAMD1_HUMAN,SAMD1,Sterile alpha motif domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SAMD1 PE=1 SV=1,129530.65,148348.7,104051.59,153623.52,173065.83,185876.69,173722.06,183823.8,172760.61,209969.97,173595.16,186369.61,157388.71,149140.87,204437.91,180362.59
sp|Q8WUQ7|CATIN_HUMAN,CACTIN,Splicing factor Cactin OS=Homo sapiens OX=9606 GN=CACTIN PE=1 SV=3,71359.15,81379.26,94198.57,96934.15,106621.1,118259,97732.96,113447.5,124027.83,116077.5,111502.71,81618.66,92150.55,98377.07,104343.95,68404.96
sp|Q9P258|RCC2_HUMAN,RCC2,Protein RCC2 OS=Homo sapiens OX=9606 GN=RCC2 PE=1 SV=2,457009.51,440308.14,415090.79,424774.08,516674.3,455648.96,436139.7,367550.44,455315.15,375694.05,366649.03,425058.03,402845.23,504511.49,415548.8,469838.97
sp|P52701|MSH6_HUMAN,MSH6,DNA mismatch repair protein Msh6 OS=Homo sapiens OX=9606 GN=MSH6 PE=1 SV=2,294663.76,296299.21,273174.3,278455.03,295167.94,259441.66,294836.95,255500.97,267001.83,235539.96,226547.44,275029.76,280463.43,302831.51,256894.44,288384.43
sp|Q9BQE4|SELS_HUMAN,SELENOS,Selenoprotein S OS=Homo sapiens OX=9606 GN=SELENOS PE=1 SV=3,117764.83,119216.24,80069.67,91086.65,140238.12,72321.33,117210.97,119223.02,109986.9,143893.33,108792.1,108046.77,148913.11,183388.99,154668.18,104982.68
sp|O60518|RNBP6_HUMAN,RANBP6,Ran-binding protein 6 OS=Homo sapiens OX=9606 GN=RANBP6 PE=1 SV=2,193944.15,201069.02,191907.88,178802.96,179491.86,197881.38,191542.57,209946.6,187114.23,194789.44,198797.21,187950.73,219586.44,195108,202792.33,197436.03
sp|Q96GQ5|RUSF1_HUMAN,RUSF1,RUS family member 1 OS=Homo sapiens OX=9606 GN=RUSF1 PE=1 SV=2,359350.11,383357.38,376927.56,367602.9,375819.55,375458.78,409794.21,402928.77,357291.78,383521.87,393472.13,378908.35,391767.3,392597.09,381894.75,372501.8
sp|P59768|GBG2_HUMAN,GNG2,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 OS=Homo sapiens OX=9606 GN=GNG2 PE=1 SV=2,409002.34,410286.6,422602.59,423284.35,369898.82,381032.19,387738.63,386606.15,485505.99,659283.16,529765.83,480429.29,383231.05,375621.85,453403.48,361175.5
sp|O95159|ZFPL1_HUMAN,ZFPL1,Zinc finger protein-like 1 OS=Homo sapiens OX=9606 GN=ZFPL1 PE=1 SV=2,374278.95,341476.95,425712.94,398586.93,330267.99,582993.92,382941.23,251999.03,427791.69,361247.78,434623.11,344542.5,362002.28,287518.37,285473.91,294408.38
sp|Q6P2E9|EDC4_HUMAN,EDC4,Enhancer of mRNA-decapping protein 4 OS=Homo sapiens OX=9606 GN=EDC4 PE=1 SV=1,313093.1,323886.8,318998.96,321519.99,324990.08,313338.78,338440.62,331142.22,355727.29,343591.62,342872.66,354420.86,326909.7,353595.33,343470.68,342306.17
