pid,GN,Description,sig126,sig127N,sig127C,sig128N,sig128C,sig129N,sig129C,sig130N,sig130C,sig131N,sig131C
Q8N1N4-2,KRT78,"Isoform 2 of Keratin, type II cytoskeletal 78 OS=Homo sapiens OX=9606 GN=KRT78",12119.2855,12032.56156,9653.022168,10218.20001,15232.93853,6887.772644,10155.85608,9625.482342,6802.913585,10211.24469,17905.27095
Q8R3W2,0610009B22Rik,RIKEN cDNA 0610009B22 gene OS=Mus musculus OX=10090 GN=0610009B22Rik PE=2 SV=1,179955.0671,163368.4478,195512.5273,201198.2696,201182.9736,200883.5879,187705.6652,196198.033,254991.6971,197792.4379,199666.8424
M0QWF3,0610010F05Rik,RIKEN cDNA 0610010F05 gene OS=Mus musculus OX=10090 GN=0610010F05Rik PE=1 SV=1,111954.476,103410.1119,115844.5855,96861.49491,95142.72817,104064.4177,122233.147,107902.2302,102536.48,106172.7309,104424.4885
D3Z687,0610010K14Rik,RIKEN cDNA 0610010K14 gene OS=Mus musculus OX=10090 GN=0610010K14Rik PE=1 SV=2,26594.92838,23235.2903,24401.99264,24946.96446,30637.75667,24602.59752,24195.62219,25177.47506,42827.47818,24892.65181,27192.34701
A0A0J9YTR2,0610012G03Rik,RIKEN cDNA 0610012G03 gene OS=Mus musculus OX=10090 GN=0610012G03Rik PE=1 SV=1,67938.47353,55937.06347,76739.57572,73786.43932,69361.65193,72700.88103,74214.50533,73662.01184,90281.37518,74322.88703,69700.19209
D3YVR9,1110004F10Rik,RIKEN cDNA 1110004F10 gene OS=Mus musculus OX=10090 GN=1110004F10Rik PE=1 SV=1,65555.38213,80880.86132,74280.13746,76533.0266,67997.3752,66377.88883,72196.33595,66346.86406,48207.79149,64450.19602,64414.80475
D6RI64,1110004F10Rik,Small acidic protein OS=Mus musculus OX=10090 GN=1110004F10Rik PE=1 SV=1,38699.1337,59053.98691,55241.78616,57650.96478,49076.72447,51386.57212,66428.56452,52819.51219,34017.62849,50939.42618,55749.36543
Q810Q1,1110051M20Rik,1110051M20Rik protein (Fragment) OS=Mus musculus OX=10090 GN=1110051M20Rik PE=2 SV=1,43025.18714,27274.80471,43551.24435,40817.57991,43921.26915,34780.11165,43253.50336,39837.81086,49455.6242,35504.76742,39632.4067
Q571N2,1110059G10Rik,MKIAA1143 protein (Fragment) OS=Mus musculus OX=10090 GN=1110059G10Rik PE=2 SV=1,74962.97371,62385.46656,60607.35372,59852.00643,79835.59415,67923.76875,67441.21497,66884.07688,63786.8448,66580.79608,67070.37651
D3YWR8,1110059G10Rik,RIKEN cDNA 1110059G10 gene OS=Mus musculus OX=10090 GN=1110059G10Rik PE=1 SV=1,101713.4555,110756.8286,108594.3636,111688.2974,101261.008,108860.6138,102493.4095,108282.2787,64025.95133,99908.33688,107652.1622
