ProteinAccession,GeneName,ProteinDescription,Group1_1,Group1_2,Group1_3,Group2_1,Group2_2,Group2_3,Group3_1,Group3_2,Group3_3,Group4_1,Group4_2,Group4_3,Group5_1,Group5_2,Group5_3,Group6_1,Group6_2,Group6_3
sp|O43242|PSMD3_HUMAN,PSMD3,26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PSMD3 PE=1 SV=2,1638456.73,1587590.14,1456311.34,1838294.33,1860024.06,1861386.59,1802309.26,1727257.55,1787348.12,1421084.27,1375366.07,1416034.36,2286025.18,2452413.74,2076400.01,1686220.78,1849749.04,1800610.54
sp|P17980|PRS6A_HUMAN,PSMC3,26S proteasome regulatory subunit 6A OS=Homo sapiens OX=9606 GN=PSMC3 PE=1 SV=3,1797658.03,1741257.57,1773685.54,2112275.40,2421299.22,2106390.95,2119515.84,2299808.91,2566111.22,1604754.57,1506778.72,1557770.28,2875960.34,3073487.19,2657919.00,2064329.09,2129004.47,2036945.32
sp|P35813|PPM1A_HUMAN,PPM1A,Protein phosphatase 1A OS=Homo sapiens OX=9606 GN=PPM1A PE=1 SV=1,845658.29,857486.84,888367.51,1073336.57,1023735.44,1053182.88,1114922.21,944250.25,1032234.30,827740.47,830419.22,822315.39,1030369.66,964912.26,931047.84,947824.56,941986.52,902754.84
sp|P35813-2|PPM1A_HUMAN,PPM1A,Isoform Alpha-2 of Protein phosphatase 1A OS=Homo sapiens OX=9606 GN=PPM1A,877905.00,847663.66,892490.51,1119742.62,1108520.55,1089547.04,1124917.37,961200.65,1156491.52,780575.98,738142.44,768008.86,1014982.36,902605.65,915206.81,955879.83,927450.80,924754.54
sp|O75347|TBCA_HUMAN,TBCA,Tubulin-specific chaperone A OS=Homo sapiens OX=9606 GN=TBCA PE=1 SV=3,8265680.24,8085123.78,7696115.44,10257317.34,9716842.68,10329611.78,10351895.11,11551386.54,11304058.36,8434818.97,7898608.11,8327058.29,9524480.73,9067167.90,8868275.56,11546275.81,11605409.54,11792968.98
sp|P80723|BASP1_HUMAN,BASP1,Brain acid soluble protein 1 OS=Homo sapiens OX=9606 GN=BASP1 PE=1 SV=2,2870288.55,2877093.46,3749661.09,2195567.65,2024180.02,2433569.39,2944197.80,2242267.99,2478563.38,1329670.97,1588009.19,1297432.27,1153714.58,863436.03,1192845.38,1057479.10,1533214.64,1168938.83
sp|Q92614|MY18A_HUMAN,MYO18A,Unconventional myosin-XVIIIa OS=Homo sapiens OX=9606 GN=MYO18A PE=1 SV=3,330464.44,340316.32,346943.01,340836.15,327585.46,347213.73,305038.73,295208.42,299043.28,329461.24,335021.52,324105.58,332909.32,312325.04,333131.46,314916.41,294884.08,304243.24
sp|Q13617|CUL2_HUMAN,CUL2,Cullin-2 OS=Homo sapiens OX=9606 GN=CUL2 PE=1 SV=2,983092.09,953033.05,898452.51,1299222.36,1309423.31,1241873.02,1182854.48,1140367.18,1131814.01,911362.80,886691.82,908869.56,970466.40,971212.48,962599.20,1212708.94,1276143.78,1188871.13
sp|P29966|MARCS_HUMAN,MARCKS,Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens OX=9606 GN=MARCKS PE=1 SV=4,3713856.25,3914611.26,4267267.64,2263151.60,2062536.26,2454959.26,4187844.19,3167782.84,3279235.97,3113304.95,3466980.32,3132397.69,2774438.12,2243859.53,2857459.41,3497325.98,3396693.91,3005611.64
sp|P07108|ACBP_HUMAN,DBI,Acyl-CoA-binding protein OS=Homo sapiens OX=9606 GN=DBI PE=1 SV=2,2932278.96,3014299.23,3374219.99,9309850.17,8222936.04,9746927.74,4601414.01,4018308.43,4484302.28,1820983.26,1795748.44,1747533.57,1864739.31,1674828.52,1823489.97,2433897.99,2591866.57,2467636.60
